"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"VerifiableCredential","VerifiableCredential","","","",0,*,"","","","","Logical Model for Verifiable Credentials","Logical Model for Verifiable Credentials","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"VerifiableCredential.context","VerifiableCredential.context","","","",1,*,"","","","uri {[]} {[]}
","Context","Sets the context of the verifiable credential","","","","","","","","","",,,,,"",,,,"VerifiableCredential.context",1,*,"",""
"VerifiableCredential.id","VerifiableCredential.id","","","",1,1,"","","","url {[]} {[]}
","Identifier","The value of the id property MUST be a single URI. It is RECOMMENDED that the URI in the id be one which, if dereferenced, results in a document containing machine-readable information about the id.","","","","","","","","","",,,,,"",,,,"VerifiableCredential.id",1,1,"",""
"VerifiableCredential.type","VerifiableCredential.type","","","",1,*,"","","","uri {[]} {[]}
","Type","The value of the type property","","","","","","","","","",,,,,"",,,,"VerifiableCredential.type",1,*,"",""
"VerifiableCredential.credentialStatus","VerifiableCredential.credentialStatus","","","",0,*,"","","","http://litlfred.github.io/iv-vcs/StructureDefinition/VerifiableCredentialStatus {[]} {[]}
","Verifiable Credential Status","Verifiable Credential Status","","","","","","","","","",,,,,"",,,,"VerifiableCredential.credentialStatus",0,*,"",""
"VerifiableCredential.credentialSubject","VerifiableCredential.credentialSubject","","","",1,*,"","","","http://litlfred.github.io/iv-vcs/StructureDefinition/VerifiableCredentialSubject {[]} {[]}
","Verifiable Credential Subject","Verifiable Credential Subject","","","","","","","","","",,,,,"",,,,"VerifiableCredential.credentialSubject",1,*,"",""
"VerifiableCredential.expirationDate","VerifiableCredential.expirationDate","","","",0,1,"","","","dateTime {[]} {[]}
","Expiration Date","The date and time the credential ceases to be valid.","","","","","","","","","",,,,,"",,,,"VerifiableCredential.expirationDate",0,1,"",""
"VerifiableCredential.evidence","VerifiableCredential.evidence","","","",0,*,"","","","http://litlfred.github.io/iv-vcs/StructureDefinition/VerifiableCredentialEvidence {[]} {[]}
","Evidence","Verifiable Credential Evidence","","","","","","","","","",,,,,"",,,,"VerifiableCredential.evidence",0,*,"",""
"VerifiableCredential.holder","VerifiableCredential.holder","","","",0,1,"","","","uri {[]} {[]}
","Holder","The holder of the credential","","","","","","","","","",,,,,"",,,,"VerifiableCredential.holder",0,1,"",""
"VerifiableCredential.issued","VerifiableCredential.issued","","","",0,1,"","","","dateTime {[]} {[]}
","Issued","Issued","","","","","","","","","",,,,,"",,,,"VerifiableCredential.issued",0,1,"",""
"VerifiableCredential.issuer","VerifiableCredential.issuer","","","",1,1,"","","","url {[]} {[]}
","Issue","The entity that issued the credential","","","","","","","","","",,,,,"",,,,"VerifiableCredential.issuer",1,1,"",""
"VerifiableCredential.issuanceDate","VerifiableCredential.issuanceDate","","","",0,1,"","","","dateTime {[]} {[]}
","Issuance Date","The date and time the credential becomes valid, which could be a date and time in the future. Note that this value represents the earliest point in time at which the information associated with the credentialSubject property becomes valid.","","","","","","","","","",,,,,"",,,,"VerifiableCredential.issuanceDate",0,1,"",""
"VerifiableCredential.proof","VerifiableCredential.proof","","","",1,*,"","","","http://litlfred.github.io/iv-vcs/StructureDefinition/VerifiableCredentialProof {[]} {[]}
","Proof","One or more cryptographic proofs that can be used to detect tampering and verify the authorship","","","","","","","","","",,,,,"",,,,"VerifiableCredential.proof",1,*,"",""
"VerifiableCredential.refreshService","VerifiableCredential.refreshService","","","",0,*,"","","","http://litlfred.github.io/iv-vcs/StructureDefinition/VerifiableCredentialRefreshService {[]} {[]}
","Refresh Service","Refresh Service","","","","","","","","","",,,,,"",,,,"VerifiableCredential.refreshService",0,*,"",""
"VerifiableCredential.termsofUse","VerifiableCredential.termsofUse","","","",0,1,"","","","http://litlfred.github.io/iv-vcs/StructureDefinition/VerifiableCredentialTermsOfUse {[]} {[]}
","Terms of Use","Terms of Use","","","","","","","","","",,,,,"",,,,"VerifiableCredential.termsofUse",0,1,"",""
"VerifiableCredential.validFrom","VerifiableCredential.validFrom","","","",0,1,"","","","dateTime {[]} {[]}
","Valid From","Valid From","","","","","","","","","",,,,,"",,,,"VerifiableCredential.validFrom",0,1,"",""
"VerifiableCredential.validUntil","VerifiableCredential.validUntil","","","",0,1,"","","","dateTime {[]} {[]}
","Valid Until","Valid Until","","","","","","","","","",,,,,"",,,,"VerifiableCredential.validUntil",0,1,"",""
